claim,source,source_type,persistent_identifier,paper_section,verification_status
Repeated participant/stimulus observations violate an unqualified row-independence assumption.,Baayen et al. (2008); Barr et al. (2013),Peer-reviewed methodological articles,10.1016/j.jml.2007.12.005; 10.1016/j.jml.2012.11.001,Introduction,verified
Information unavailable at prediction time can create leakage.,Kaufman et al. (2012),Peer-reviewed methodological article,10.1145/2382577.2382579,Introduction,verified
Reusing cross-validation for tuning and evaluation biases error estimates.,Varma and Simon (2006); Cawley and Talbot (2010),Peer-reviewed methodological articles,10.1186/1471-2105-7-91; JMLR 11:2079-2107,Introduction; validation,verified
Generalization claims depend on the population and units represented by held-out data.,Yarkoni (2022),Peer-reviewed methodological article,10.1017/S0140525X20001685,Design principles,verified
Conformal prediction provides set/interval uncertainty under exchangeability assumptions.,Vovk et al. (2005); Shafer and Vovk (2008); Angelopoulos and Bates (2023),Book and peer-reviewed tutorials,10.1007/b106715; JMLR 9:371-421; 10.1561/2200000101,Uncertainty,verified
Dataset shift should be decomposed rather than represented by one undifferentiated score.,Quionero-Candela et al. (2009); Moreno-Torres et al. (2012),Book and peer-reviewed article,10.7551/mitpress/9780262170055.001.0001; 10.1016/j.patcog.2011.06.019,Shift auditing,verified
Model cards support structured reporting of intended use and limitations.,Mitchell et al. (2019),Peer-reviewed conference article,10.1145/3287560.3287596,Governance and reporting,verified
RO-Crate packages research artefacts and machine-readable metadata.,Soiland-Reyes et al. (2022),Peer-reviewed article and standard,10.3233/DS-210053,Provenance,verified
"caret, mlr3, tidymodels and rsample are broad modelling/resampling ecosystems rather than eye-tracking-specific governance layers.",Kuhn (2008); Lang et al. (2019); Kuhn and Wickham (2022); rsample documentation,"Package papers, book, official documentation",10.18637/jss.v028.i05; 10.21105/joss.01903,Related software,verified with scope-qualified wording
"gp3ml 0.3.0 exposes explicit grouped folds, fold-local evaluation, analysis plans, conformal prediction, decision rules, shift audits, artifacts and API contracts.",gp3ml 0.3.0 source and reference documentation,Primary software source,10.5281/zenodo.21487272,Package architecture,verified at release commit 0e23684
Reproducibility checklists and executable artefacts strengthen machine-learning reporting.,Pineau et al. (2021),Peer-reviewed methodological report,JMLR 22:164,Software quality and validation,verified
R is the computational environment used to generate the manuscript.,R Core Team (2026),Official software manual,https://www.R-project.org/,Availability and reproducibility,verified
"Model explanation and pipeline orchestration are complementary but distinct software scopes.",Biecek (2018); Landau (2021),Peer-reviewed R software papers,JMLR 19:84; 10.21105/joss.02959,Related software,verified
Locked plans support transparent comparison between declared and executed decisions but are not equivalent to registered preregistration.,Nosek et al. (2018),Peer-reviewed methodological article,10.1073/pnas.1708274114,Locked analysis plan,verified
Internal and external validation answer distinct questions about prediction-model performance.,Steyerberg and Harrell (2016),Peer-reviewed methodological article,10.1016/j.jclinepi.2015.04.005,Related software and limitations,verified
